post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
1645390789044342_1651533118430109	237cdcdf0c044003eedc242755e53f59a9112749		2015-12-19T21:07:51+0000	1651573905092697	24770810b59ef3805de423635f7b22bed4ac74e0	0	Cara, que showzaço, valeu!!	2015-12-20T01:00:27+0000	1
1645390789044342_1651248531791901	12c94016cb79d2bb445d03a9584bf6f9db1ca793	Prefeitura inaugura primeiro Fab Lab Equipamento em Cidade Tiradentes oferece a estudantes acesso a máquinas de produção digital_ como impressoras 3D para desenvolver protótipos de novos produtos. Até março_ serão 12 em operação	2015-12-18T19:09:40+0000	1651249865125101	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	É uma rede com 12 fablabs	2015-12-18T19:22:39+0000	0
1645390789044342_1651248531791901	12c94016cb79d2bb445d03a9584bf6f9db1ca793	Prefeitura inaugura primeiro Fab Lab Equipamento em Cidade Tiradentes oferece a estudantes acesso a máquinas de produção digital_ como impressoras 3D para desenvolver protótipos de novos produtos. Até março_ serão 12 em operação	2015-12-18T19:09:40+0000	1651249958458425	12c94016cb79d2bb445d03a9584bf6f9db1ca793	0	a maior rede pùblica do mundo. Como no podía ser de otro modo! :P	2015-12-18T19:23:23+0000	2
1645390789044342_1651248531791901	12c94016cb79d2bb445d03a9584bf6f9db1ca793	Prefeitura inaugura primeiro Fab Lab Equipamento em Cidade Tiradentes oferece a estudantes acesso a máquinas de produção digital_ como impressoras 3D para desenvolver protótipos de novos produtos. Até março_ serão 12 em operação	2015-12-18T19:09:40+0000	1651250541791700	be96c3c406691e270640042e34eab46e503344e5	0	Enhorabuena!!!	2015-12-18T19:28:00+0000	0
1645390789044342_1647523208831100	bc41155588fca8cbd400c86ae6f87ef2bc43f4d5	Jardins suspensos da babilônia! Yeahhhh	2015-12-04T13:04:49+0000	1647523515497736	ac96da4f509de2944525679b35ada68b5cca30b8	0	💜	2015-12-04T13:07:11+0000	1
1645390789044342_1647523208831100	bc41155588fca8cbd400c86ae6f87ef2bc43f4d5	Jardins suspensos da babilônia! Yeahhhh	2015-12-04T13:04:49+0000	1647615085488579	46158f06c3919e64ba854db3cde452e13daf7ad0	0	<3 !!!!	2015-12-04T19:43:31+0000	1
1645390789044342_1647523208831100	bc41155588fca8cbd400c86ae6f87ef2bc43f4d5	Jardins suspensos da babilônia! Yeahhhh	2015-12-04T13:04:49+0000	1651231795126908	0a0cbc73de5315cdf1c7bcf8029d0cd4640e0818	0	Maquete! vlw pela foto Gustavo.	2015-12-18T17:14:48+0000	1
1645390789044342_1650999755150112	237cdcdf0c044003eedc242755e53f59a9112749		2015-12-18T00:35:28+0000	1651160781800676	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	0	n entendi a onda. mt massa esse roteador? nova aquisição?	2015-12-18T10:30:17+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650924761824278	e10e25327f1e551650c93469dd5b935c5a1afe23	0	Estoy de acuerdo! :D	2015-12-17T16:45:32+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650925031824251	6a3ca2852001b0704f4c4cd3ffe5411c5b6e6657	0	También de acuerdo, me retiro de este y nos vemos en el otro! abraços!	2015-12-17T16:47:04+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650931155156972	43d83941173cf572912aae6fa0cacfa2cce9176b	0	eso, también salgo de este grupo y así sólo pongo un aviso de la lista de correos en un lugar :D	2015-12-17T17:17:04+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650931258490295	43d83941173cf572912aae6fa0cacfa2cce9176b	0	Pero no sé que tan fácil sea que 124 personas salgamos de este grupo para estar sólo en Red labic	2015-12-17T17:18:02+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650953028488118	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	1	priscila, pide entrar!	2015-12-17T19:18:42+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650931778490243	75461aa361fba83b1f78a2a0df66c18f94b3e35d	0	Não estou no grupo!	2015-12-17T17:19:27+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1650953088488112	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	0	y yo tambien me salgo de este grupo ... abraços!	2015-12-17T19:19:06+0000	0
1645390789044342_1650924688490952	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?	2015-12-17T16:44:59+0000	1651159525134135	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	0	La Fenix, "es absurdo.. duplicando esfuerzos.. mucha confusión?" Fiquei curioso para saber mais. Aliás, boa parte creio que descobriu este outro grupo (RedLabIC) através deste grupo (labic paralelo), e este outro grupo se chamava labicMX (creio), e este outro grupo é fechado - fechado - (fechado). Desejo que esteja e siga tudo bem. De qualquer forma, podemos assumir que quem entender ruim o uso deste espaço não fará uso dele. Felipe González González tem + contexto? (PS. comentando e mantendo a thread no topo para migrar/adentrar o outro grupo/postar lá quem quiser :-) )	2015-12-18T10:25:59+0000	4
